Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Billie Eilish - Ocean Eyes (Official Music Video),viimfQi_pUw,Billie Eilish,2023-11-23T23:59:30Z,483819301,6183877,0,171325
Kaustubh Patil - Loving Me,-JLMDOtUI_c,Kaustubh Patil,2024-05-02T17:13:37Z,107753,338,0,72
Selena Gomez - Lose You To Love Me (Official Music Video),zlJDTxahav0,SelenaGomezVEVO,2024-05-22T17:51:26Z,476974508,8929689,0,354352
Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],0-EF60neguk,SineadOConnorVEVO,2023-11-23T23:59:31Z,477367547,2628889,0,129802
Rihanna - Rehab (Official Music Video) ft. Justin Timberlake,rJYcmq__nDM,RihannaVEVO,2023-11-19T00:55:03Z,475279812,1710279,0,44966
James Bay - Let It Go,GsPq9mzFNGY,JamesBayVEVO,2024-04-18T17:16:24Z,443994645,2638248,0,48196
"Jordin Sparks, Chris Brown - No Air (Official Video) ft. Chris Brown",WBKnpyoFEBo,JordinSparksVEVO,2023-11-23T23:59:33Z,429289157,2039844,0,68181
Faouzia - What A Woman,iQWWwTJFOIs,Faouzia,2024-05-07T17:23:06Z,622053,13818,0,688
Olivia Rodrigo - deja vu (Official Video),cii6ruuycQA,OliviaRodrigoVEVO,2023-11-23T23:59:38Z,429390941,5725556,0,144948
Elvis Presley - Can't Help Falling In Love (Official Audio),vGJTaP6anOU,ElvisPresleyVEVO,2023-11-23T23:59:34Z,412038749,3836136,0,129364
The Infamous HER - Dare Me (official music video),TsC54MwGT8A,TheOfficialHER,2024-05-02T17:13:39Z,16113,26,0,10
Labrinth - Jealous (Official Video),50VWOBi0VFs,LabrinthVEVO,2024-05-22T17:51:27Z,390503429,2908864,0,77392
Lewis Capaldi - Before You Go (Official Video),Jtauh8GcxBY,LewisCapaldiVEVO,2023-12-29T19:33:39Z,383101356,3843032,0,57238
Tosh Alexander - Chat To Me Nice,UgsPzZszyXs,Tosh Alexander,2024-05-03T17:06:36Z,12648,205,0,42
Mariah Carey - Hero (Official HD Video),0IA3ZvCkRkQ,MariahCareyVEVO,2023-11-23T23:59:43Z,380484137,1459604,0,49035
Adele - Easy On Me (Official Video),U3ASj1L6_sY,AdeleVEVO,2023-11-23T23:59:46Z,375696191,6927863,0,250408
Dido - Thank You (Official Video),1TO48Cnl66w,DidoVEVO,2024-05-16T17:35:30Z,374726935,3022502,0,72525
Michael Jackson - You Are Not Alone (Official Video),pAyKJAtDNCw,michaeljacksonVEVO,2024-05-22T17:51:28Z,363593404,3167726,0,150158
MIRA - Duro | Lyric Video,HRJd_Qhb9k0,MIRA,2024-05-26T18:42:39Z,863348,3494,0,145
Mariah Carey - Always Be My Baby (Official Music Video),LfRNRymrv9k,MariahCareyVEVO,2024-05-17T17:56:33Z,359609623,1481332,0,47925
Westlife - My Love (Official Video),ulOb9gIGGd0,westlifeVEVO,2024-05-22T17:51:30Z,356161325,1892102,0,88336
Air Supply - Making Love Out Of Nothing At All,ogoIxkPjRts,AirSupplyVEVO,2024-05-25T19:10:24Z,348032079,1948865,0,44311
Ayra Starr - Rush (Official Music Video),crtQSTYWtqE,AyraStarrVEVO,2024-05-25T19:10:25Z,347307493,1763840,0,34293
MIRA - Bad Booty | Official Video,wMDOli6JDBQ,MIRA,2024-05-27T18:50:17Z,1529962,5375,0,261
"Sam Smith - Fire On Fire (From ""Watership Down"")",vk_xq1P7vIU,SamSmithVEVO,2024-05-25T19:10:27Z,341592506,2912328,0,51774
