Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
Ne-Yo - Sexy Love (Official Music Video),mgaeGW-2z6w,NeYoVEVO,2017-05-07T15:30:15Z,147743205,631397,0,15043
Shontelle - T-Shirt,Eb-Vfe61W6A,ShontelleVEVO,2017-05-08T01:32:15Z,51784009,225344,0,8672
Nobody Will Love You Like I Do,vJ-QNfMKxOY,iAsianBeats,2017-05-08T01:43:49Z,21272436,101467,0,3028
"Faith Hill - ""The Way You Love Me"" (Official Video)",o8EamHKpdrM,Faith Hill,2017-05-07T14:41:13Z,17813745,98869,0,3164
Natasha Bedingfield - Love Like This (Official Video) ft. Sean Kingston,BPTZVmJrIpo,NBedingfieldVEVO,2017-05-08T01:34:21Z,30700287,137863,0,5589
Best In Me,OfMyEMpy7w8,Blue - Topic,2021-09-04T10:00:39Z,5006965,22712,0,129
Alicia Keys - Try Sleeping with a Broken Heart (Official Video),srMBZiqNMaM,aliciakeysVEVO,2017-05-07T14:49:47Z,122209456,608390,0,22187
Tamia - Officially Missing You (Official Video),HeK1zQFJtXE,Atlantic Records,2017-05-07T15:10:38Z,34939142,249846,0,7402
We Explored D'Mall Boracay / Vlog Review No. 228,f-NGUfZzqc0,F & T Reviews,2024-02-09T20:00:28Z,26235,0,0,2
Daniel Bedingfield - If You're Not The One,j6nevGNYTkA,DanielBedingVEVO,2017-05-07T15:02:49Z,56392286,354994,0,20385
Kelly Clarkson - A Moment Like This (VIDEO),S7b8ADhadJU,kellyclarksonVEVO,2017-05-07T14:40:36Z,23582295,139686,0,5563
Angels Brought Me Here by Guy Sebastian,BPoowarh8Ic,ateLhyn89,2017-05-07T14:32:58Z,21660641,46379,0,2016
Mariah Carey - I Stay In Love (Official Music Video),5C5JFDEGj8A,MariahCareyVEVO,2017-05-07T14:30:15Z,42018082,173052,0,7737
Kylie Minogue - All I See (Official Video),wI5_DWMHxgk,Kylie Minogue,2017-05-07T14:53:14Z,4147134,11737,0,1308
*NSYNC - Gone (Official HD Video),IbRwSI8yi1o,NSYNCVEVO,2017-05-07T15:31:07Z,43951961,254189,0,13099
Natasha Bedingfield - Unwritten (Official Video) (as featured in Anyone But You),b7k0a5hYnSI,NBedingfieldVEVO,2017-05-08T01:32:56Z,140889963,944631,0,35952
Why Avril Lavigne lyrics,NVcq1HSOpto,Avrilfreak211,2017-05-08T01:15:04Z,3872967,21699,0,1591
Deep - Binocular,rQZ66PipjMY,MG INFO DRiVE,2017-05-08T01:10:50Z,6937131,20079,0,2258
Lee Ann Womack - I Hope You Dance (Official Music Video),RV-Z1YwaOiw,LeeAnnWomackVEVO,2023-07-23T09:27:35Z,90749452,574900,0,26288
Mandy Moore - Crush,wkMa7gIcnCM,MandyMooreVEVO,2017-05-08T01:13:20Z,15558355,59508,0,3545
Boyz II Men - The Color Of Love (Video),ftJrHOiNuBo,BoyzIIMenVEVO,2017-05-09T14:55:10Z,16203317,61578,0,2182
Destiny's Child - Stand Up For Love (Official Music Video),eDp6jpOuttU,DestinysChildVEVO,2018-12-15T14:22:39Z,17842523,100094,0,4451
S Club - Never Had A Dream Come True,WB9_sf6oV1o,SClub7VEVO,2017-05-07T14:43:16Z,23485719,117448,0,6411
"Ayala Malls Vertis North, Quezon City / Vlog Review No. 202",H3F9ib99E-s,F & T Reviews,2023-09-22T13:09:18Z,25113,0,0,0
Craig David - Unbelievable (lyrics),ZlXOx52Pxao,djpeC,2017-05-07T14:11:38Z,9449942,28080,0,1192
Alicia Keys - Empire State Of Mind (Part II) Broken Down LIVE @ AOL Sessions,qHagigQRKqU,AKeysAOLSessions,2018-12-15T14:34:50Z,21347708,82057,0,3304
out of reach gabrielle with lyrics,l6PrJnqrb3s,junipherberry,2017-05-07T15:14:44Z,13053316,25870,0,982
Beyonce - Wishing on a star,SRV-pfti6Ps,thebestdivasforever,2018-12-15T14:22:04Z,4474526,30203,0,1974
Gabrielle - Sunshine,VsWgUXs5TSw,GabrielleVEVO,2017-05-07T15:19:10Z,6750999,31048,0,1335
Janet Jackson - Doesn't Really Matter (Official Video),7iJZosBX2L0,Mishel Reznik,2018-12-15T14:33:25Z,3698186,35860,0,2089
David Archuleta - A Little Too Not Over You (Official Music Video),M8YLOpmQxYg,davidarchuletaVEVO,2017-05-07T15:43:16Z,1923395,17644,0,998
O-Town - We Fit Together (Video),S9FKH3cTj5o,OTownVEVO,2017-05-07T14:41:40Z,2585511,12887,0,1283
Christina Aguilera - The Voice Within (Official HD Video),nA2k79EGHbc,CAguileraVEVO,2017-05-07T15:07:27Z,55294823,295492,0,14289
Destiny's Child - Brown Eyes (Official Audio),Mktlac3D7H0,DestinysChildVEVO,2017-05-08T01:15:54Z,29619628,154195,0,4228
"Mariah Carey, Joe, 98 Degrees - Thank God I Found You (Official HD Video)",7KVxjQUCyn0,MariahCareyVEVO,2017-05-07T15:22:11Z,33873470,150649,0,5714
Plus One - Here In My Heart Lyrics,O-KZ0gsANlM,HaTeYouLeomaR,2017-05-08T01:12:32Z,4245568,11053,0,660
Craig David - Once In A Lifetime,L5NJ2jaweMo,CraiqDavid,2018-07-29T16:13:21Z,1810587,3748,0,270
"Elephant Ride at Chang Puak Camp, Damneon Saduak / Vlog Review No. 139",8tNSmGjHxA4,F & T Reviews,2023-09-22T13:10:01Z,25117,0,0,0
Lil Eddie - Statue (Official Video ),br6i9f0G7Kw,Lil Eddie,2018-09-27T18:39:20Z,21877909,49555,0,1976
Brian Mcknight: Biggest Part Of Me (Superhero),T9JYMDB1WZk,ProSamuraiman,2017-05-07T15:17:32Z,1720587,8689,0,292
Gwyneth Paltrow with Babyface - Just My Imagination,9dntINzVzcQ,Julijana Jana,2017-05-07T14:12:59Z,2301422,19439,0,951
Maxwell - Lifetime Lyrics,U7X0cUVQHcY,gloryby1,2017-05-07T15:38:38Z,1116979,9635,0,406
Christina Aguilera-Somebody´s Somebody,X7L5o4zrf4s,dilare91,2018-12-15T14:32:24Z,318087,565,0,85
J.Rice-Thank You For The Broken Heart :(,aIazwupJ2nk,neverendinglovex21,2017-05-08T01:46:00Z,7701708,34901,0,1842
Alicia Keys - You Don't Know My Name (Official HD Video),_ST6ZRbhGiA,aliciakeysVEVO,2017-05-07T14:34:12Z,112168188,598245,0,22278
lemar - what about love with lyrics,H0Ci9J2B1Mo,Mary Ann Rosal,2017-05-07T15:00:17Z,2447222,7316,0,533
Eric Benet ~ The Last Time (2005),DAKlADVn6NE,2chann,2017-05-07T15:29:14Z,2530103,12323,0,803
Mariah Carey - Never Too Far Away Lyrics,XWg8ZStuDCo,Jonas Sanchez,2017-05-07T14:44:59Z,4359903,18091,0,800
Christina Milian-Until I get over you,T3osHGgCIQQ,tokiopanic,2017-05-07T15:09:47Z,346412,414,0,53
Kirsten Dunst - Dream of Me (Lyrics),QyIoDhp-q9M,irishtejedar,2017-05-07T15:23:40Z,373015,1459,0,80
"Don't Say Goodbye, Say Goodnight - Binocular (Lyrics)",fe-_SMCr5hw,imhannahfaye,2017-05-08T01:11:17Z,2243968,7071,0,740
Central World Bangkok Shopping Mall / Vlog Review No. 147,Nz1m8nnHZyk,F & T Reviews,2023-09-22T13:10:25Z,24402,0,0,0
Emma Bunton - Take My Breath Away,_aAf8oe6NwE,EmmaBuntonVEVO,2017-05-07T15:15:55Z,2265421,15799,0,1093
Darius Campbell Danesh - Colourblind,fS4jg-Yv1XA,DariusMusicOfficial,2017-05-07T15:11:54Z,3093703,19719,0,3546
"Brian McKnight & Justin Timberlake - ""My Kind of Girl""",kujSVD-AUpk,aldel33,2017-05-07T15:18:02Z,861011,4147,0,154
Westlife My Private Movie,OYTN41FBIjI,lvgtwest,2018-12-15T14:28:54Z,372126,1126,0,102
Beverley Knight - Shoulda Woulda Coulda (Music Video),0d0JUiBCakg,Beverley Knight,2017-05-07T15:16:52Z,1103307,5841,0,515
Case - Missing You,2bnZTHLxhEo,BlackoutTV,2017-05-07T15:37:48Z,1587259,20710,0,1127
D´Sound - People are People,vhIzlQgC_eI,Ed Sants,2017-05-08T01:17:55Z,335565,1576,0,212
Dido - Thank You,OjvKVllGnEI,DidoVEVO,2017-05-07T14:42:13Z,517446,3181,0,192
Carrie Underwood - Inside Your Heaven (AOL Sessions),ErfH5K45FkM,carrieunderwoodVEVO,2017-05-07T14:32:12Z,301063,1899,0,75
Boys Like Girls - Thunder,ytLzxl4-mLw,BoysLikeGirlsVEVO,2019-07-04T01:14:06Z,45832967,186386,0,17004
Maroon 5 - She Will Be Loved (Official Music Video),nIjVuRTm-dc,Maroon5VEVO,2019-07-04T01:14:23Z,770331783,2731423,0,69888
Five for Fighting - Superman (It's Not Easy),GRz4FY0ZcwI,fiveforfightingVEVO,2019-07-04T01:14:34Z,106787879,408351,0,14818
Leona Lewis - Bleeding Love (Official Video),7_weSk0BonM,leonalewisVEVO,2019-07-04T01:14:45Z,205453288,669883,0,18906
David Archuleta - Crush (Official Video),6J1-eYBbspA,davidarchuletaVEVO,2019-07-04T01:15:08Z,168976950,965044,0,46946
The Calling - Wherever You Will Go (First Video- in Tijuana),iAP9AF6DCu4,TheCallingVEVO,2019-07-04T01:15:17Z,586602680,3031655,0,63399
Daniel Powter - Bad Day (Official Music Video) [HD],gH476CxJxfg,Daniel Powter,2019-07-04T01:26:53Z,254978955,1967898,0,59684
"Devayn's Inn, El Nido Palawan / Vlog Review No. 192",wXJ5FCa9HOs,F & T Reviews,2023-08-03T15:10:46Z,25956,0,0,0
Britney Spears - Sometimes (Official HD Video),t0bPrt69rag,BritneySpearsVEVO,2019-07-04T01:27:01Z,325697924,1150444,0,67342
Colbie Caillat - Fallin' For You,GPCRbuL4Oh8,colbiechannel,2019-07-04T01:27:10Z,28120318,231610,0,7402
Human Nature - Eternal Flame (Video Version),j6FhICVvMnI,HumanNatureVEVO,2019-07-04T01:29:47Z,4276428,28127,0,1150
craig david - Don't Love You No More (i'm Sorry) clip en parole,Gd2uNOa9WRY,nour fat,2019-07-04T01:34:38Z,23685436,47080,0,2390
Savage Garden - I Knew I Loved You (Official Video),jjnmICxvoVY,SavageGardenVEVO,2019-07-04T01:35:10Z,244456413,1140666,0,43829
A1 - Everytime (Video),AQqMKqArUvA,A1VEVO,2019-07-04T01:35:27Z,46510278,142607,0,8154
Destiny's Child - Emotion (Official HD Video),xWKdMmH0B-E,DestinysChildVEVO,2019-07-04T01:41:18Z,89599433,433614,0,11630
The Pussycat Dolls - Stickwitu (Official Music Video) ft. Avant,K1uNjmxJQUo,ThePussycatDollsVEVO,2019-07-04T01:41:26Z,302118985,1302337,0,31440
"Mariah Carey - Thank God I Found You (StarGate Radio Edit - Official Audio) ft. Joe, 98°",iCJW6v3m1eI,MariahCareyVEVO,2021-02-14T13:37:01Z,76896,1531,0,94
"Gloria Estefan, 'N Sync - Music Of My Heart",Blz-npEbOHA,GloriaEstefanVEVO,2019-07-04T01:41:42Z,4906327,33418,0,1896
Katy Perry - Thinking Of You (Official),wdGZBRAwW74,KatyPerryVEVO,2019-07-04T01:41:53Z,150777237,815274,0,40761
98º - My Everything (Official Music Video),Vz2lyq7kGms,98DegreesVEVO,2019-07-04T01:42:16Z,16867544,77076,0,3479
Human Nature - Last To Know,lwqmJy0o8uQ,HumanNatureVEVO,2021-02-14T13:56:14Z,400571,1884,0,167
LeAnn Rimes - I Need You (Official Music Video),AA_5sLaTErQ,leannrimesofficial,2020-04-26T07:18:52Z,19285489,139505,0,4792
Westlife - My Love (Official Video),ulOb9gIGGd0,westlifeVEVO,2022-09-06T05:23:14Z,356164173,1892116,0,88337
Craig David - Unbelievable (Official Video),oRGbxfTiEaE,CraigDavidVEVO,2020-04-26T07:20:56Z,13848322,105112,0,3869
Trademark - Only Love With Lyrics,EY88IwIgtD4,KoolAlidden,2020-04-26T07:23:04Z,7408291,26155,0,1351
Mariah Carey - There For Me (Limited Edition) & Lyrics,027a8DFvoBs,MCLamb16,2021-02-14T13:59:10Z,1156856,7558,0,967
Kelly Clarkson - Already Gone,f0T3WAbU6tg,kellyclarksonVEVO,2022-08-08T05:11:56Z,81088398,406775,0,17127
David Cook - Time of My Life,Jt4aTMTGZPM,OfficialDavidCook,2022-08-08T05:13:17Z,9615276,15536,0,1905
Your Guardian Angel (Alliance Edition) - The Red Jumpsuit Apparatus,NZN-G7dsKpE,The Red Jumpsuit Apparatus,2022-08-08T05:15:08Z,2145499,19544,0,384
Keahiwai - Falling (Lyrics) 🎵,P0u1UD2eJZY,MusicLoveSoundstrack,2022-08-08T05:20:22Z,116827,888,0,26
Dashboard Confessional - Stolen,j82FBbgpUy4,DashboardVEVO,2022-08-08T05:21:29Z,21035685,81601,0,5517
Adele - Make You Feel My Love (Official Video),0put0_a--Ng,XL Recordings,2022-09-06T05:22:43Z,190662567,666863,0,28858
Michael Bublé - Everything [Official Music Video],SPUJIbXN0WY,Michael Bublé,2022-09-06T05:24:54Z,126610608,423127,0,14586
Fergie - Big Girls Don't Cry (Personal) (Official Music Video),agrXgrAgQ0U,FergieVEVO,2023-08-22T07:05:22Z,385042969,2099793,0,50458
James Blunt - You're Beautiful (Official Music Video) [4K],oofSnsGkops,James Blunt,2022-09-29T06:59:56Z,797554007,4861575,0,145900
Westlife - I Lay My Love on You (Official Video),ZnOAK04tJhc,westlifeVEVO,2022-09-29T07:00:21Z,162016530,592328,0,23829
Kelly Clarkson - Because Of You (VIDEO),Ra-Om7UMSJc,kellyclarksonVEVO,2023-08-22T07:05:44Z,556293983,2906011,0,69771
Rihanna - Take A Bow,J3UjJ4wKLkg,RihannaVEVO,2022-09-29T07:01:02Z,707321329,2479526,0,65278
Jim Brickman - Destiny ft. Jordan Hill,IRMsCbDE_5s,Jim Brickman Music,2023-08-15T07:58:28Z,5396433,15468,0,426
Hoobastank - The Reason (Official Music Video),fV4DiAyExN0,HoobastankVEVO,2023-09-19T03:20:50Z,1078154227,5559805,0,107323
D'sound - Talkin Talk,sAGz4y-LD68,Warner Music Norway,2023-08-15T07:58:02Z,183932,1864,0,141
M2M - Pretty Boy,-v7ZMOhMONU,M2MmusicVEVO,2023-12-06T14:51:35Z,16423387,137573,0,8229
Evanescence - My Immortal (Official HD Music Video),5anLPw0Efmo,EvanescenceVEVO,2023-08-22T07:06:02Z,984193788,5648171,0,215141
"Brian McKnight - 6, 8, 12",JKeFqvckXvY,BrianMcKnightVEVO,2023-09-19T03:20:43Z,27392880,107685,0,3750
Norah Jones - Don't Know Why,tO4dxvguQDk,norahjonesVEVO,2023-08-15T07:57:50Z,87737872,566830,0,14176
Daughtry - Home (Official Video),7bnX-6sJZBw,daughtryVEVO,2023-08-22T07:05:00Z,123875833,492473,0,20421
Leona Lewis - Bleeding Love (US Version - Official Video),Vzo-EL_62fQ,leonalewisVEVO,2023-08-31T04:54:15Z,369931959,1639634,0,39769
Michael Bublé - Haven't Met You Yet [Official Music Video],1AJmKkU5POA,Michael Bublé,2023-08-15T07:57:30Z,167642936,756418,0,44511
Hinder - Lips Of An Angel (Official Music Video),RiSfTyrvJlg,HinderVEVO,2023-08-31T04:54:38Z,335502942,1792174,0,60142
"Jordin Sparks, Chris Brown - No Air (Official Video) ft. Chris Brown",WBKnpyoFEBo,JordinSparksVEVO,2023-08-31T04:54:22Z,429293969,2039853,0,68183
Coldplay - Yellow (Official Video),yKNxeF4KMsY,Coldplay,2023-08-31T04:54:51Z,1066670835,5655907,0,141537
S Club - Have You Ever,XNnHLMdx0ko,SClub7VEVO,2023-09-19T03:20:39Z,6926184,29011,0,1848
When I Look At You,S1yKCRp5qzU,Miley Cyrus,2023-10-19T06:20:18Z,123072638,869598,0,19223
Maroon 5 - This Love (Official Music Video),XPpTgCho5ZA,Maroon5VEVO,2023-10-19T06:20:22Z,316714645,1844253,0,43542
Evanescence - Bring Me To Life (Official HD Music Video),3YxaaGgTQYM,EvanescenceVEVO,2023-10-19T06:20:56Z,1369546919,9775137,0,294920
Jason Mraz - I Won't Give Up (Official Video) [4K],O1-4u9W-bns,Jason Mraz,2023-10-21T16:50:58Z,189657083,1238697,0,35081
M2M the day you went away OFFICIAL MUSIC VIDEO,pPIC7gJIW8I,M2MCHANNEL,2023-10-21T16:50:59Z,23334937,108278,0,4977
Michael Bublé - Home [Official Music Video],lbSOLBMUvIE,Michael Bublé,2023-10-21T16:52:54Z,175853619,870830,0,25936
Alicia Keys - No One (Official Music Video),rywUS-ohqeE,aliciakeysVEVO,2023-10-21T16:53:01Z,789340416,3537139,0,81395
Craig David - Walking Away (Official Video),Dbb7xeZGR-U,CraigDavidVEVO,2024-04-26T11:58:46Z,78792708,496723,0,19214
