Title,Video ID,Video Owner Title,Published At,View Count,Like Count,Favorite Count,Comment Count
"gnash - i hate u, i love u ft. olivia o'brien (music video)",BiQIc7fG9pA,gnash,2020-11-27T19:28:23Z,777281669,6268367,0,151597
Maroon 5 - She Will Be Loved (Official Music Video),nIjVuRTm-dc,Maroon5VEVO,2020-11-27T19:28:22Z,770326687,2731412,0,69888
Rihanna - Take A Bow,J3UjJ4wKLkg,RihannaVEVO,2020-11-27T19:28:30Z,707318241,2479516,0,65279
MIRA - Duro | Lyric Video,HRJd_Qhb9k0,MIRA,2024-05-24T17:02:06Z,863510,3494,0,145
"A Great Big World, Christina Aguilera - Say Something",-2U0Ivkn2Ds,AGreatBigWorldVEVO,2020-11-27T19:28:27Z,678182662,4708150,0,132409
Timbaland - Apologize ft. OneRepublic,ZSM3w1v-A_Y,TimbalandVEVO,2020-12-02T12:58:31Z,664214745,4297135,0,99892
Lana Del Rey - Young and Beautiful,o_1aF54DO60,LanaDelReyVEVO,2021-11-30T11:16:33Z,629100274,4743560,0,115857
Bee Gees - How Deep Is Your Love (Official Video),XpqqjU7u5Yc,beegees,2020-12-23T06:08:18Z,627803145,3258103,0,97843
Adele - Skyfall (Official Lyric Video),DeumyOzKqgI,AdeleVEVO,2020-12-02T12:58:28Z,615417425,4145947,0,132034
Chord Overstreet - Hold On (Lyric Video),8ofCZObsnOo,ChordOverstreetVEVO,2021-07-15T09:36:28Z,610101515,5531392,0,166383
One Direction - You & I,_kqQDCxRCzM,OneDirectionVEVO,2024-04-26T17:19:19Z,607306324,6045971,0,313807
The Infamous HER - Dare Me (official music video),TsC54MwGT8A,TheOfficialHER,2024-05-21T17:28:57Z,16113,26,0,10
Lana Del Rey - Born To Die,Bag1gUxuU0g,LanaDelReyVEVO,2021-02-22T10:51:48Z,606655192,3684043,0,138439
Beyoncé - If I Were A Boy,AWpsOqh8q0M,BeyoncéVEVO,2020-11-27T19:28:33Z,601836061,2599708,0,70196
Alec Benjamin - Let Me Down Slowly [Official Music Video],50VNCymT-Cs,Alec Benjamin,2022-05-03T19:00:25Z,589903715,7980128,0,122855
Lana Del Rey - Summertime Sadness,nVjsGKrE6E8,Lana Del Rey,2022-09-20T18:00:08Z,443325348,2781117,0,85488
MIRA - Bad Booty | Official Video,wMDOli6JDBQ,MIRA,2024-05-24T17:02:08Z,1530044,5375,0,261
Kelly Clarkson - Because Of You (VIDEO),Ra-Om7UMSJc,kellyclarksonVEVO,2020-12-02T12:58:30Z,556289349,2905997,0,69769
Taylor Swift - Delicate,tCXGJQYZ9JA,TaylorSwiftVEVO,2022-10-24T18:11:16Z,550420112,4572214,0,209211
Phil Collins - Another Day In Paradise (Official Music Video),Qt2mbGP6vFI,Phil Collins,2020-12-23T06:08:19Z,541775749,2653439,0,70396
Enrique Iglesias - Hero,koJlIGDImiU,EnriqueIglesiasVEVO,2020-12-02T12:58:30Z,533607706,2209176,0,94700
Jeremy Zucker - comethru (Official Video),jO2viLEW-1A,JeremyZuckerVEVO,2021-05-22T21:37:14Z,533427604,5401903,0,94740
Billie Eilish - Ocean Eyes (Official Music Video),viimfQi_pUw,Billie Eilish,2022-04-21T01:49:30Z,483820480,6183882,0,171325
Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],0-EF60neguk,SineadOConnorVEVO,2023-09-11T20:21:10Z,477368183,2628891,0,129802
Rihanna - Rehab (Official Music Video) ft. Justin Timberlake,rJYcmq__nDM,RihannaVEVO,2022-04-21T01:49:29Z,475280442,1710280,0,44966
Luci - Drugs (Ophelia Records) [OFFICIAL MUSIC VIDEO],6Z4yfPzKssA,Luci,2024-05-08T17:08:46Z,35777,715,0,50
B.o.B - Nothin' On You (feat. Bruno Mars) [Official Video],8PTDv_szmL0,Atlantic Records,2024-05-13T17:07:43Z,450357764,2809865,0,76648
James Bay - Let It Go,GsPq9mzFNGY,JamesBayVEVO,2024-03-15T19:15:22Z,443995291,2638248,0,48196
Kelsie Kimberlin  - Parking Lot (Official video),BvuVnUWacBI,Kelsie Kimberlin,2024-05-03T16:58:38Z,819404,56337,0,20
Vanessa Carlton - A Thousand Miles,Cwkej79U3ek,VanessaCarltonVEVO,2022-06-29T18:06:42Z,393890826,3891798,0,200771
Lana Del Rey - Blue Jeans,JRWox-i6aAk,LanaDelReyVEVO,2024-05-26T18:21:43Z,388105022,2274851,0,62876
viisi - paradise (Lyric Video),oXCP4piGNKE,viisi,2024-05-17T17:37:54Z,3937,47,0,21
Fergie - Big Girls Don't Cry (Personal) (Official Music Video),agrXgrAgQ0U,FergieVEVO,2023-11-19T00:32:38Z,385038945,2099783,0,50458
"""Buscándote"", Jesús Alonso, canción. #musicaparaelalma #despertarespiritual #musicaconsciente",8OMl-6_zs4A,Jesús Alonso,2024-05-17T17:37:55Z,31162,129,0,13
Melanie Martinez - Dollhouse (Official Music Video),HcVv9R1ZR84,melanie martinez,2024-05-26T18:21:45Z,384667750,5449121,0,0
Dido - Thank You (Official Video),1TO48Cnl66w,DidoVEVO,2023-11-19T00:32:43Z,374728289,3022507,0,72526
